"","x"
"1","Benue"
"2","Benue"
"3","Benue"
"4","Benue"
"5","Benue"
"6","Benue"
"7","Benue"
"8","Benue"
"9","Benue"
"10","Benue"
"11","Benue"
"12","Benue"
"13","Benue"
"14","Benue"
"15","Benue"
"16","Benue"
"17","FCT"
"18","FCT"
"19","FCT"
"20","FCT"
"21","FCT"
"22","FCT"
"23","FCT"
"24","FCT"
"25","FCT"
"26","FCT"
"27","FCT"
"28","FCT"
"29","Kogi"
"30","Kogi"
"31","Kogi"
"32","Kogi"
"33","Kogi"
"34","Kogi"
"35","Kogi"
"36","Kogi"
"37","Kogi"
"38","Kogi"
"39","Kogi"
"40","Kogi"
"41","Kogi"
"42","Kogi"
"43","Kogi"
"44","Kwara"
"45","Kwara"
"46","Kwara"
"47","Kwara"
"48","Kwara"
"49","Kwara"
"50","Kwara"
"51","Kwara"
"52","Kwara"
"53","Kwara"
"54","Kwara"
"55","Kwara"
"56","Kwara"
"57","Kwara"
"58","Nasarawa"
"59","Nasarawa"
"60","Nasarawa"
"61","Nasarawa"
"62","Nasarawa"
"63","Nasarawa"
"64","Nasarawa"
"65","Nasarawa"
"66","Nasarawa"
"67","Nasarawa"
"68","Nasarawa"
"69","Nasarawa"
"70","Nasarawa"
"71","Niger"
"72","Niger"
"73","Niger"
"74","Niger"
"75","Niger"
"76","Niger"
"77","Niger"
"78","Niger"
"79","Niger"
"80","Niger"
"81","Niger"
"82","Niger"
"83","Niger"
"84","Niger"
"85","Niger"
"86","Niger"
"87","Plateau"
"88","Plateau"
"89","Plateau"
"90","Plateau"
"91","Plateau"
"92","Plateau"
"93","Plateau"
"94","Plateau"
"95","Plateau"
"96","Plateau"
"97","Plateau"
"98","Plateau"
"99","Plateau"
"100","Plateau"
"101","Plateau"
"102","Adamawa"
"103","Adamawa"
"104","Adamawa"
"105","Adamawa"
"106","Adamawa"
"107","Adamawa"
"108","Adamawa"
"109","Adamawa"
"110","Adamawa"
"111","Adamawa"
"112","Adamawa"
"113","Adamawa"
"114","Adamawa"
"115","Adamawa"
"116","Adamawa"
"117","Bauchi"
"118","Bauchi"
"119","Bauchi"
"120","Bauchi"
"121","Bauchi"
"122","Bauchi"
"123","Bauchi"
"124","Bauchi"
"125","Bauchi"
"126","Bauchi"
"127","Bauchi"
"128","Bauchi"
"129","Bauchi"
"130","Bauchi"
"131","Bauchi"
"132","Bauchi"
"133","Borno"
"134","Borno"
"135","Borno"
"136","Borno"
"137","Borno"
"138","Borno"
"139","Borno"
"140","Borno"
"141","Borno"
"142","Borno"
"143","Borno"
"144","Borno"
"145","Borno"
"146","Borno"
"147","Borno"
"148","Borno"
"149","Gombe"
"150","Gombe"
"151","Gombe"
"152","Gombe"
"153","Gombe"
"154","Gombe"
"155","Gombe"
"156","Gombe"
"157","Gombe"
"158","Gombe"
"159","Gombe"
"160","Gombe"
"161","Gombe"
"162","Gombe"
"163","Taraba"
"164","Taraba"
"165","Taraba"
"166","Taraba"
"167","Taraba"
"168","Taraba"
"169","Taraba"
"170","Taraba"
"171","Taraba"
"172","Taraba"
"173","Taraba"
"174","Taraba"
"175","Taraba"
"176","Taraba"
"177","Yobe"
"178","Yobe"
"179","Yobe"
"180","Yobe"
"181","Yobe"
"182","Yobe"
"183","Yobe"
"184","Yobe"
"185","Yobe"
"186","Yobe"
"187","Yobe"
"188","Yobe"
"189","Yobe"
"190","Yobe"
"191","Jigawa"
"192","Jigawa"
"193","Jigawa"
"194","Jigawa"
"195","Jigawa"
"196","Jigawa"
"197","Jigawa"
"198","Jigawa"
"199","Jigawa"
"200","Jigawa"
"201","Jigawa"
"202","Jigawa"
"203","Jigawa"
"204","Jigawa"
"205","Jigawa"
"206","Jigawa"
"207","Kaduna"
"208","Kaduna"
"209","Kaduna"
"210","Kaduna"
"211","Kaduna"
"212","Kaduna"
"213","Kaduna"
"214","Kaduna"
"215","Kaduna"
"216","Kaduna"
"217","Kaduna"
"218","Kaduna"
"219","Kaduna"
"220","Kaduna"
"221","Kaduna"
"222","Kaduna"
"223","Kaduna"
"224","Kano"
"225","Kano"
"226","Kano"
"227","Kano"
"228","Kano"
"229","Kano"
"230","Kano"
"231","Kano"
"232","Kano"
"233","Kano"
"234","Kano"
"235","Kano"
"236","Kano"
"237","Kano"
"238","Kano"
"239","Kano"
"240","Kano"
"241","Kano"
"242","Katsina"
"243","Katsina"
"244","Katsina"
"245","Katsina"
"246","Katsina"
"247","Katsina"
"248","Katsina"
"249","Katsina"
"250","Katsina"
"251","Katsina"
"252","Katsina"
"253","Katsina"
"254","Katsina"
"255","Katsina"
"256","Katsina"
"257","Katsina"
"258","Katsina"
"259","Kebbi"
"260","Kebbi"
"261","Kebbi"
"262","Kebbi"
"263","Kebbi"
"264","Kebbi"
"265","Kebbi"
"266","Kebbi"
"267","Kebbi"
"268","Kebbi"
"269","Kebbi"
"270","Kebbi"
"271","Kebbi"
"272","Kebbi"
"273","Kebbi"
"274","Sokoto"
"275","Sokoto"
"276","Sokoto"
"277","Sokoto"
"278","Sokoto"
"279","Sokoto"
"280","Sokoto"
"281","Sokoto"
"282","Sokoto"
"283","Sokoto"
"284","Sokoto"
"285","Sokoto"
"286","Sokoto"
"287","Sokoto"
"288","Sokoto"
"289","Zamfara"
"290","Zamfara"
"291","Zamfara"
"292","Zamfara"
"293","Zamfara"
"294","Zamfara"
"295","Zamfara"
"296","Zamfara"
"297","Zamfara"
"298","Zamfara"
"299","Zamfara"
"300","Zamfara"
"301","Zamfara"
"302","Zamfara"
"303","Abia"
"304","Abia"
"305","Abia"
"306","Abia"
"307","Abia"
"308","Abia"
"309","Abia"
"310","Abia"
"311","Abia"
"312","Abia"
"313","Abia"
"314","Abia"
"315","Abia"
"316","Abia"
"317","Anambra"
"318","Anambra"
"319","Anambra"
"320","Anambra"
"321","Anambra"
"322","Anambra"
"323","Anambra"
"324","Anambra"
"325","Anambra"
"326","Anambra"
"327","Anambra"
"328","Anambra"
"329","Anambra"
"330","Anambra"
"331","Anambra"
"332","Anambra"
"333","Ebonyi"
"334","Ebonyi"
"335","Ebonyi"
"336","Ebonyi"
"337","Ebonyi"
"338","Ebonyi"
"339","Ebonyi"
"340","Ebonyi"
"341","Ebonyi"
"342","Ebonyi"
"343","Ebonyi"
"344","Ebonyi"
"345","Ebonyi"
"346","Enugu"
"347","Enugu"
"348","Enugu"
