"","long","lat","order","hole","piece","group","id"
"1",7.46283245,4.98177004,1,FALSE,"1","Abia.1","Abia"
"2",7.46260977,4.96793175,2,FALSE,"1","Abia.1","Abia"
"3",7.46637392,4.95794773,3,FALSE,"1","Abia.1","Abia"
"4",7.47589684,4.94717312,4,FALSE,"1","Abia.1","Abia"
"5",7.47628498,4.92824936,5,FALSE,"1","Abia.1","Abia"
"6",7.47584391,4.92705917,6,FALSE,"1","Abia.1","Abia"
"7",7.47025108,4.91197252,7,FALSE,"1","Abia.1","Abia"
"8",7.46547127,4.90190315,8,FALSE,"1","Abia.1","Abia"
"9",7.47219133,4.88910007,9,FALSE,"1","Abia.1","Abia"
"10",7.48135042,4.87002659,10,FALSE,"1","Abia.1","Abia"
"11",7.48997784,4.85505867,11,FALSE,"1","Abia.1","Abia"
"12",7.49437714,4.84742641,12,FALSE,"1","Abia.1","Abia"
"13",7.49731541,4.82915115,13,FALSE,"1","Abia.1","Abia"
"14",7.49925518,4.82058239,14,FALSE,"1","Abia.1","Abia"
"15",7.49737883,4.8187685,15,FALSE,"1","Abia.1","Abia"
"16",7.49637699,4.81742525,16,FALSE,"1","Abia.1","Abia"
"17",7.49297762,4.81540108,17,FALSE,"1","Abia.1","Abia"
"18",7.48906565,4.81867981,18,FALSE,"1","Abia.1","Abia"
"19",7.4747138,4.83068991,19,FALSE,"1","Abia.1","Abia"
"20",7.45834446,4.84642601,20,FALSE,"1","Abia.1","Abia"
"21",7.44370937,4.85521126,21,FALSE,"1","Abia.1","Abia"
"22",7.42950678,4.86214352,22,FALSE,"1","Abia.1","Abia"
"23",7.41091871,4.86915064,23,FALSE,"1","Abia.1","Abia"
"24",7.40117264,4.86608696,24,FALSE,"1","Abia.1","Abia"
"25",7.38171721,4.86226606,25,FALSE,"1","Abia.1","Abia"
"26",7.37114048,4.86498404,26,FALSE,"1","Abia.1","Abia"
"27",7.35735893,4.86937141,27,FALSE,"1","Abia.1","Abia"
"28",7.338346,4.8786931,28,FALSE,"1","Abia.1","Abia"
"29",7.32870388,4.88208723,29,FALSE,"1","Abia.1","Abia"
"30",7.32228422,4.8796463,30,FALSE,"1","Abia.1","Abia"
"31",7.31825018,4.87811279,31,FALSE,"1","Abia.1","Abia"
"32",7.30206347,4.87654305,32,FALSE,"1","Abia.1","Abia"
"33",7.2836504,4.8800869,33,FALSE,"1","Abia.1","Abia"
"34",7.27642488,4.87582636,34,FALSE,"1","Abia.1","Abia"
